acronym	name	where
NLPD  2024	5th International Conference on NLP & Big Data	London, United Kingdom
AIS 2024	10th International Conference on Artificial Intelligence and Soft Computing	Sydney, Australia
CBDA 2024	5th International Conference on Big Data	Melbourne, Australia
CoNeCo 2024	16th International Conference on Computer Networks & Communications	Copenhagen, Denmark
NCO 2024	10th International Conference on Networks and Communications	Vancouver, Canada
BIOENG 2024	8th International Conference on Bioscience & Engineering	Virtual Conference
MSE  2024	8th International Conference on Materials Science and Engineering	Virtual Conference
BDML 2024	5th International Conference on Big Data and Machine Learning	Zurich, Switzerland
CHEME  2024	8th International Conference on Chemical Engineering	Sydney, Australia
SPM 2024	11th International Conference on Signal, Image Processing and Multimedia 	London, United Kingdom
Meche 2024	11th International Conference on Mechanical Engineering	Sydney, Australia
CBW 2024	5th International Conference on Cloud, Big Data and Web Services	Vancouver, Canada
IJWSC 2024	International Journal on Web Service Computing 	N/A
BIoT 2024	5th International Conference on Block chain and Internet of Things	Zurich, Switzerland
DMSE  2024	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
CLOUD 2024	13th International Conference on Cloud Computing: Services and Architecture	Zurich, Switzerland
EDUIT 2024	2nd International Conference on Education & Information Technology 	Copenhagen, Denmark
AIMLNET 2024	4th International conference on AI, Machine Learning in Communications and Networks 	London, United Kingdom
BDBS 2024	5th International Conference on Big Data, Blockchain and Security	Sydney, Australia
CMLA 2024	6th International Conference on Machine Learning & Applications	London, United Kingdom
CE 2024	8th International Conference on Civil Engineering	Copenhagen, Denmark
CYBI 2024	11th International Conference on Cybernetics & Informatics	Melbourne, Australia
BMLI 2024	5th International Conference on Big Data, Machine Learning and IoT 	Copenhagen, Denmark
DKMP  2024	12th Conference on Data Mining & Knowledge Management Process	Zurich, Switzerland
IPDCA 2024	13th International conference on Parallel, Distributed Computing and Applications 	Sydney, Australia
NLCAI 2024	5th International Conference on Natural Language Computing and AI	Zurich, Switzerland
CSIT 2024	11th International Conference on Computer Science and Information Technology	Sydney, Australia
DMSE  2024	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
CAMSE 2024	International Conference on Advances in Materials Science and Engineering	Virtual Conference
CoSIT 2024	11th International Conference on Computer Science and Information Technology	Melbourne, Australia
BDAP 2024	International Conference on Big Data and Applications	Sydney, Australia
AdNLP  2024	5th International conference on Advanced Natural Language Processing	Vancouver, Canada
WiMoNe  2024	16th International Conference on Wireless & Mobile Networks	London, United Kingdom
CSIT 2024	11th International Conference on Computer Science and Information Technology	Sydney, Australia
NLPD 2024	5th International Conference on NLP & Big Data	London, United Kingdom
AVC 2024	Advances in Vision Computing: An International Journal	N/A
VLSIA 2024	10th International Conference on VLSI and Applications	Copenhagen, Denmark
CDKP 2024	13th International Conference on Data Mining & Knowledge Management Process 	Vancouver, Canada
ICISPP--Ei 2024	2024 5th International Conference on Information Security and Privacy Protection (ICISPP 2024)	Nanjing, China
ACM BDSIC 2024	ACM--2024 6th International Conference on Big-data Service and Intelligent Computation (BDSIC 2024)	Hong Kong
BIOTC 2024	ACM--2024 6th Blockchain and Internet of Things Conference (BIOTC 2024)	Fukuoka, Japan
IJWMN 2024	International Journal of Wireless & Mobile Networks -- ERA, WJCI Indexed, H index 33	N/A
IJAMSE 2024	International Journal of Advances in Materials Science and Engineering	N/A
IJMA 2024	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
IJDMS 2024	International Journal of Database Management Systems - WJCI Indexed	N/A
IJCSEIT 2024	International Journal of Computer Science, Engineering and Information Technology	N/A
IJAIT 2024	International Journal of Advanced Information Technology 	N/A
IJCSITCE 2024	The International Journal of Computational Science, Information Technology and Control Engineering 	N/A
ABB 2024	The 5th Joint International Conference on AI, Big Data and Blockchain (ABB 2024)	Vienna
FiCloud 2024	The 11th International Conference on Future Internet of Things and Cloud 	Vienna
SmartData 2024	10th IEEE International Conference on Smart Data	Copenhagen, Denmark
BCCA  2024	The Sixth International Conference on Blockchain Computing and Applications	Dubai. UAE
IEEE ICCCBDA 2024	IEEE--2024 the 9th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2024)	Chengdu, China
ICINT 2024	2024 9th International Conference on Information and Network Technologies (ICINT 2024)	Tokyo, Japan
Cybermatics 2024	2024 IEEE Cybermatics Congress	Copenhagen, Denmark
CSP 2024	IEEE--2024 8th International Conference on Cryptography, Security and Privacy (CSP 2024)	Osaka, Japan
SIP 2024	13th International Conference on Signal & Image Processing 	 Dubai, UAE
BIOM 2024	4th International Conference on Big Data, IoT and Machine Learning	Chennai, India
DSCC 2024	5th International Conference on Data Science and Cloud Computing	Dubai, UAE
NLDM 2024	International Conference on NLP & Data Mining	Chennai, India
SESBC 2024	5th International Conference on Software Engineering, Security and Blockchain	Dubai, UAE
IJACEEE 2024	International Journal of Applied Control, Electrical and Electronics Engineering	N/A
IJITMC 2024	The International Journal of Information Technology, Modeling and Computing	N/A
IJP2P 2024	International Journal of Peer-to-Peer networks	N/A
ICISDM--EI 2024	2024 8th International Conference on Information System and Data Mining (ICISDM 2024)	Los Angeles, CA, USA
ADEIJ 2024	Advances in Engineering: an International Journal 	N/A
ITIOT 2024	2024 8th International Conference on Information Technology and Internet of Things (ITIOT 2024)	London, UK
ICIKM 2024	2024 13th International Conference on Innovation, Knowledge, and Management (ICIKM 2024)	Rome, Italy
CEIJ 2024	Chemical Engineering: An International Journal 	N/A
ICBET 2024	ACM--2024 14th International Conference on Biomedical Engineering and Technology (ICBET 2024)	Seoul, South Korea
